ticker,name,industry,sector,group,seen,ev_m,ev_rev,ev_ebitda,op_margin,ind_median,delta_pp,read,med_basis,pctile,inst_pct,inst_trend,float_pct,float_m,dollar_float_m,thin,analysts,hook,revenueGrowth,fullTimeEmployees,totalCash,totalDebt,sf_own_dependence,sf_under_prof,sf_no_mna,sf_under_invest,sf_succession,sf_composite,sf_depth,sf_why,macro,structure,macro_note,macro_depth
BYRN,"Byrna Technologies, Inc.",Aerospace & Defense,Industrials,F,False,141.6,1.17,10.6,3.2,9.0,-5.8,Below,ind,33.0,58.3,↑ 81B/28S net +$69M,76.4,17.3,109.6,,3,"less-lethal weapons, net cash, growth",0.109,159.0,9207000.0,2170000.0,Low,Med,Med,Low,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified,Tailwind,Fragmented,"Less-lethal weapons; consumer/LE self-defense demand growing fast, net cash; not budget-dependent; nascent category, fragmented small-arms-adjacent tail.",researched
CVU,"CPI Aerostructures, Inc.",Aerospace & Defense,Industrials,E,False,94.1,1.32,29.4,10.5,9.0,1.6,In-line,ind,58.0,22.9,sparse,81.7,10.8,55.9,,0,"defense structures, backlog-driven",0.127,192.0,1002548.0,28499770.0,Low,Med,Med,Low,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified,Tailwind,Consolidated,"Defense aerostructures; FY27 budget ~$1.5T (+28% discretionary), backlogs beyond 2030; backlog-driven; primes-dominated supply chain, few independents.",researched
FLXS,"Flexsteel Industries, Inc.","Furnishings, Fixtures & Appliances",Consumer Cyclical,F,False,317.3,0.69,7.9,7.1,-1.7,8.9,Above,ind,86.0,70.4,↑ 52B/25S net +$57M,115.3,4.7,280.2,,2,"furniture maker, recovering, low debt",0.01,1400.0,57283000.0,53903000.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,Furniture mfr recovering off trough; housing turnover muted but replacement/remodel demand + low debt; foam/import cost; fragmented furniture tail = roll-up.,researched
HVT,"Haverty Furniture Companies, In",Home Improvement Retail,Consumer Cyclical,F,False,495.2,0.65,10.6,2.6,-0.9,3.5,Above,sec(2),66.0,83.0,↑ 54B/35S net +$22M,91.4,13.6,317.2,,2,"furniture retailer, owns real estate",0.041,2392.0,107456000.0,219238000.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Fragmented,Furniture retailer; demand tied to frozen home sales/low mobility; owns real estate (asset support); fragmented regional-retailer tail; soft big-ticket.,researched
ZUMZ,Zumiez Inc.,Apparel Retail,Consumer Cyclical,F,False,468.4,0.5,10.8,9.0,-1.0,10.0,Above,ind,91.0,80.1,↑ 77B/41S net +$21M,76.1,13.1,325.0,,1,"action-sports retailer, recovery",0.044,2400.0,160624000.0,199328992.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,"Action-sports/teen apparel cyclically recovering; tariff cost + fickle fashion risk; mall-based; specialty niche, limited acquirable tail.",judgment
NATR,"Nature's Sunshine Products, Inc",Packaged Foods,Consumer Defensive,F,False,318.9,0.65,7.7,7.8,3.7,4.0,Above,ind,69.0,88.1,↓ 85B/34S net -$7M,71.6,12.6,271.5,,2,"herbal-supplement direct-seller, net cash",0.085,806.0,87578000.0,22430000.0,Low,Low,Med,Med,unverified,2,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,Herbal-supplement direct-seller; MLM swoon may be ending (NATR/USANA/HLF turning up); aging-health demand tailwind vs channel risk; fragmented brand tail.,researched
HBB,Hamilton Beach Brands Holding C,"Furnishings, Fixtures & Appliances",Consumer Cyclical,F,False,316.3,0.53,6.8,4.1,-1.7,5.8,Above,ind,79.0,42.4,↓ 28B/23S net -$1.1M,65.6,6.5,134.0,,0,"small-appliance brand, asset-light",-0.086,640.0,48390000.0,90671000.0,Med,Low,Low,Low,Low,1,full,"Rankin/NACCO dual-class family holdco but professionally managed (Trepp CEO since 2010, not founder); spin-off holdco structure, not a single founder-operated business.",Neutral,Barbell,"Small-appliance brand; staple replacement demand steady but China-import/tariff exposed + value shopper; asset-light; consolidated branded top, fragmented private-label.",judgment
KEQU,Kewaunee Scientific Corporation,"Furnishings, Fixtures & Appliances",Consumer Cyclical,F,False,170.3,0.59,6.5,3.7,-1.7,5.5,Above,ind,71.0,41.2,↑ 19B/10S net +$7.2M,75.4,2.2,87.9,,0,"lab furniture, backlog, India ops",0.033,1239.0,8153000.0,59342000.0,Low,Low,Low,Med,Low,1,full,"Professional management (no controlling family found, 1906 vintage); just did $55M Nu Aire acquisition -> M&A lever pulled.",Neutral,Fragmented,Lab/scientific furniture; backlog-driven on lab/pharma/education capex; steel-input cost; just bought Nu Aire; fragmented lab-casework tail = build-up.,judgment
HFFG,HF Foods Group Inc.,Food Distribution,Consumer Defensive,A,True,320.2,0.26,9.2,0.3,-1.2,1.6,In-line,sec(4),60.0,21.1,sparse,74.1,39.6,79.1,,0,"Asian-food distribution roll-up, post-fraud cleanup",0.045,949.0,11061000.0,221748992.0,Low,Low,Low,Med,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,"Asian-food distribution roll-up; stable ethnic-grocery demand, post-fraud cleanup; thin distributor margins; very fragmented Asian-foodservice tail = build-up.",judgment
VFF,"Village Farms International, In",Farm Products,Consumer Defensive,E,False,294.7,1.3,6.0,10.0,-48.2,58.2,Above,ind,83.0,22.4,↑ 50B/21S net +$16M,89.3,102.0,260.2,,3,greenhouse produce+cannabis optionality,0.266,1128.0,50468000.0,40477000.0,Low,Low,Med,Low,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,Greenhouse produce + cannabis optionality; produce low-margin but stable demand; cannabis re-scheduling optionality; fragmented greenhouse/grower tail.,judgment
EML,Eastern Company (The),Tools & Accessories,Industrials,C,False,176.4,0.72,9.7,2.1,-3.8,5.9,Above,sec(1),72.0,78.0,↑ 30B/19S net +$6.5M,78.4,4.7,102.5,,0,"security+engineered-solutions, activist (Barington)",-0.057,1231.0,7616721.0,53457492.0,Low,Low,Low,Med,Low,1,full,"DISQUALIFIED: Barington activist-controlled, de-founded, external professional CEO, serial acquirer of engineered-solutions businesses.",Neutral,Fragmented,Security hardware + engineered solutions; steady industrial/commercial demand + steel cost; activist-driven serial acquirer in fragmented hardware niches.,judgment
TG,Tredegar Corporation,Metal Fabrication,Industrials,C,False,316.6,0.42,5.4,3.4,-3.8,7.2,Above,sec(3),75.0,71.3,↑ 56B/33S net +$17M,82.6,28.8,226.4,,0,"Aluminum+films two-segment, Kaleo optionality",0.132,1700.0,15611000.0,58888000.0,Low,Low,Med,Low,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Barbell,Aluminum extrusions + films; aluminum tariff protection aids domestic pricing but auto/building end-mkt soft; Kaleo optionality; consolidated extruders + small tail.,judgment
TWIN,"Twin Disc, Incorporated",Specialty Industrial Machinery,Industrials,E,False,300.2,0.83,10.5,5.3,3.2,2.1,Above,ind,50.0,68.4,↑ 46B/22S net +$16M,71.2,10.3,173.9,,0,"marine/industrial gears, cyclical recovery",0.19,980.0,16114000.0,66969000.0,Low,Low,Med,Low,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Barbell,"Marine/industrial transmissions; cyclical recovery off trough + defense/marine demand; global niche; consolidated specialists top, fragmented distributor tail.",judgment
III,"Information Services Group, Inc",Information Technology Services,Technology,A,False,261.8,1.06,11.0,8.2,-5.3,13.5,Above,ind,71.0,69.4,↑ 73B/43S net +$14M,73.4,35.1,160.1,,3,"IT-advisory roll-up, recurring research",0.027,1500.0,22689000.0,67782000.0,Low,Low,Low,Med,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,"IT-advisory roll-up + recurring research; enterprise tech-spend steady, AI-advisory tailwind vs commoditization; fragmented boutique-advisory tail = roll-up.",judgment
NTWK,NETSOL Technologies Inc.,Software - Application,Technology,F,False,56.9,0.79,8.2,15.2,-11.2,26.4,Above,ind,95.0,20.5,sparse,79.1,9.4,42.4,,0,"leasing software for autos/finance, global",0.13,,14744392.0,9334564.0,Low,Low,Med,Low,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Consolidated,"Auto/equipment-leasing software (global); sticky enterprise core but legacy-platform displacement risk; concentrated vertical, few peers; not a roll-up.",judgment
RNGR,"Ranger Energy Services, Inc.",Oil & Gas Equipment & Services,Energy,E,False,416.5,0.73,6.1,2.8,-3.4,6.2,Above,ind,75.0,79.6,↑ 78B/39S net +$48M,78.6,18.7,285.3,,3,"well-service rig operator, FCF",0.177,2300.0,6900000.0,63400000.0,Low,Low,Med,Low,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Barbell,Well-service rigs; disciplined drilling but production/workover demand steady + FCF; service market tightening on pricing; oligopoly top with small-operator tail.,researched
VMD,"Viemed Healthcare, Inc.",Medical Devices,Healthcare,F,False,388.4,1.35,7.1,6.3,-47.2,53.4,Above,ind,93.0,70.4,→ 72B/49S net +$0.3M,78.9,30.2,300.5,,1,"home-ventilation, organic growth",0.275,1387.0,9762000.0,12437000.0,Low,Low,Med,Low,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified,Tailwind,Fragmented,Home ventilation/respiratory; aging demographics + shift to in-home care (DME ~5.5% CAGR); organic growth; very fragmented home-respiratory provider tail = roll-up.,researched
EBF,"Ennis, Inc.",Business Equipment & Supplies,Industrials,C,False,494.2,1.26,7.2,11.2,-3.8,15.0,Above,sec(2),87.0,86.9,↑ 91B/62S net +$19M,90.8,23.0,470.1,,1,"print/forms cash cow, serial small M&A",0.04,1835.0,34570000.0,9215000.0,Low,Low,Low,Low,Med,1,full,DISQUALIFIED on no-M&A: Walters oversaw 33-68 acquisitions; explicit serial acquirer. Professionally run cash cow.,Headwind,Fragmented,Business forms/print; structural digital displacement (print rev -4.6% 2026); cash-cow harvest + serial small M&A; abundant declining-printer tail to consolidate.,researched
RLGT,"Radiant Logistics, Inc.",Integrated Freight & Logistics,Industrials,A,False,425.5,0.48,14.0,1.3,-3.8,5.1,Above,sec(4),68.0,55.9,↓ 51B/44S net -$6.7M,72.3,33.9,285.5,,2,"freight-forwarding roll-up, asset-light",0.001,988.0,39688000.0,83793000.0,Low,Low,Low,Med,unverified,1,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,"Asset-light freight forwarding; freight recession bottoming, 2026 'foundational' recovery (rates +3-6%); volumes flat; highly fragmented forwarder tail = roll-up.",researched
ESOA,Energy Services of America Corp,Engineering & Construction,Industrials,A,False,333.2,0.76,10.7,1.1,-3.8,4.9,Above,sec(5),66.0,55.4,↑ 54B/29S net +$11M,76.8,14.3,214.3,,1,Appalachian utility-services roll-up,0.215,1418.0,10110449.0,37537668.0,Low,Low,Low,Low,unverified,0,proxy,proxy-only: float/growth/group screen; founder & age unverified,Tailwind,Fragmented,Appalachian utility/pipeline services; grid-hardening + gas-infrastructure capex demand; backlog growth; very fragmented regional-contractor tail = build-up runway.,judgment
PPIH,Perma-Pipe International Holdin,Building Products & Equipment,Industrials,A,False,302.8,1.44,8.8,9.0,-3.8,12.8,Above,sec(3),83.0,52.9,↑ 47B/18S net +$17M,94.1,7.6,237.2,,1,"pre-insulated pipe roll-up, MENA backlog",0.225,909.0,18720000.0,46860000.0,Low,Low,Low,Low,unverified,0,proxy,proxy-only: float/growth/group screen; founder & age unverified,Tailwind,Fragmented,Pre-insulated/specialty pipe; district-energy + MENA/oil-gas infrastructure backlog; steel-input cost; fragmented pipe-fab tail = roll-up runway.,judgment
